,,,,,,,,,,,,,,,
Предельное значение зависимости,120%,,,Ignore This Dividend Events,,,,Ticker,Weight,Tax,,,Rate,EXCEL YEARFRAC CONVENTION
Значение целевой волатильности,9%,,,Spin-Off,,,Equity1,MSFT UQ Equity,20.00%,15.00%,,,US0003M Index,2
Продолжительность периода определения реализованной волатильности,20,,,Spinoff,,,Equity2,AAPL UQ Equity,20.00%,15.00%,,,,
Дата начала расчета,1/15/2020,,,Stock Split,,,Equity3,GOOGL UQ Equity,20.00%,15.00%,,,,
Первоначальное значение,100,,,Consolidation,,,Equity4,FB UQ Equity,20.00%,15.00%,,,,
,,,,Stock Dividend,,,Equity5,700 HK Equity,20.00%,15.00%,,,,
,,,,Bonus,,,Equity6,,,,,,,
,,,,Rights Offering,,,Equity7,,,,,,,
,,,,Entitlement,,,Equity8,,,,,,,
,,,,Poison Pill Rights,,,Equity9,,,,,,,
,,,,Split-Off,,,Equity10,,,,,,,
,,,,Rights Issue,,,,,,,,,,
,PXLAST,Даты,Цена Базового актива в Дату,DIVIDENDS,Даты отсечки,"Сумма дивидендов, единиц валюты актива",Тип дивидендов
Ticker,MSFT UQ Equity,8/22/2014,45.16,,9/21/1987,2,Stock Split
Currency,USD,8/25/2014,45.17,,4/16/1990,2,Stock Split
Name,MICROSOFT CORP,8/26/2014,45.005,,6/27/1991,1.5,Stock Split
,,8/27/2014,44.87,,6/15/1992,1.5,Stock Split
,,8/28/2014,44.88,,5/23/1994,2,Stock Split
,,8/29/2014,45.43,,12/9/1996,2,Stock Split
,,9/2/2014,45.09,,2/23/1998,2,Stock Split
,,9/3/2014,44.96,,3/29/1999,2,Stock Split
,,9/4/2014,45.26,,2/18/2003,2,Stock Split
,,9/5/2014,45.91,,2/19/2003,0.08,Regular Cash
,,9/8/2014,46.47,,10/15/2003,0.16,Regular Cash
,,9/9/2014,46.76,,8/23/2004,0.08,Regular Cash
,,9/10/2014,46.84,,11/15/2004,3,Special Cash
,,9/11/2014,47,,11/15/2004,0.08,Regular Cash
,,9/12/2014,46.695,,2/15/2005,0.08,Regular Cash
,,9/15/2014,46.24,,5/16/2005,0.08,Regular Cash
,,9/16/2014,46.76,,8/15/2005,0.08,Regular Cash
,,9/17/2014,46.52,,11/15/2005,0.08,Regular Cash
,,9/18/2014,46.68,,2/15/2006,0.09,Regular Cash
,,9/19/2014,47.52,,5/15/2006,0.09,Regular Cash
,,9/22/2014,47.06,,8/15/2006,0.09,Regular Cash
,,9/23/2014,46.56,,11/14/2006,0.1,Regular Cash
,,9/24/2014,47.08,,2/13/2007,0.1,Regular Cash
,,9/25/2014,46.04,,5/15/2007,0.1,Regular Cash
,,9/26/2014,46.41,,8/14/2007,0.1,Regular Cash
,,9/29/2014,46.44,,11/13/2007,0.11,Regular Cash
,,9/30/2014,46.36,,2/19/2008,0.11,Regular Cash
,,10/1/2014,45.9,,5/13/2008,0.11,Regular Cash
,,10/2/2014,45.76,,8/19/2008,0.11,Regular Cash
,,10/3/2014,46.09,,11/18/2008,0.13,Regular Cash
,,10/6/2014,46.09,,2/17/2009,0.13,Regular Cash
,,10/7/2014,45.53,,5/19/2009,0.13,Regular Cash
,,10/8/2014,46.78,,8/18/2009,0.13,Regular Cash
,,10/9/2014,45.85,,11/17/2009,0.13,Regular Cash
,,10/10/2014,44.03,,2/16/2010,0.13,Regular Cash
,,10/13/2014,43.65,,5/18/2010,0.13,Regular Cash
,,10/14/2014,43.73,,8/17/2010,0.13,Regular Cash
,,10/15/2014,43.22,,11/16/2010,0.16,Regular Cash
,,10/16/2014,42.74,,2/15/2011,0.16,Regular Cash
,,10/17/2014,43.63,,5/17/2011,0.16,Regular Cash
,,10/20/2014,44.08,,8/16/2011,0.16,Regular Cash
,,10/21/2014,44.88,,11/15/2011,0.2,Regular Cash
,,10/22/2014,44.38,,2/14/2012,0.2,Regular Cash
,,10/23/2014,45.02,,5/15/2012,0.2,Regular Cash
,,10/24/2014,46.13,,8/14/2012,0.2,Regular Cash
,,10/27/2014,45.91,,11/13/2012,0.23,Regular Cash
,,10/28/2014,46.49,,2/19/2013,0.23,Regular Cash
,,10/29/2014,46.62,,5/14/2013,0.23,Regular Cash
,,10/30/2014,46.05,,8/13/2013,0.23,Regular Cash
,,10/31/2014,46.95,,11/19/2013,0.28,Regular Cash
,,11/3/2014,47.44,,2/18/2014,0.28,Regular Cash
,,11/4/2014,47.57,,5/13/2014,0.28,Regular Cash
,,11/5/2014,47.86,,8/19/2014,0.28,Regular Cash
,,11/6/2014,48.7,,11/18/2014,0.31,Regular Cash
,,11/7/2014,48.68,,2/17/2015,0.31,Regular Cash
,,11/10/2014,48.89,,5/19/2015,0.31,Regular Cash
,,11/11/2014,48.87,,8/18/2015,0.31,Regular Cash
,,11/12/2014,48.78,,11/17/2015,0.36,Regular Cash
,,11/13/2014,49.61,,2/16/2016,0.36,Regular Cash
,,11/14/2014,49.58,,5/17/2016,0.36,Regular Cash
,,11/17/2014,49.46,,8/16/2016,0.36,Regular Cash
,,11/18/2014,48.74,,11/15/2016,0.39,Regular Cash
,,11/19/2014,48.22,,2/14/2017,0.39,Regular Cash
,,11/20/2014,48.7,,5/16/2017,0.39,Regular Cash
,,11/21/2014,47.98,,8/15/2017,0.39,Regular Cash
,,11/24/2014,47.59,,11/15/2017,0.42,Regular Cash
,,11/25/2014,47.47,,2/14/2018,0.42,Regular Cash
,,11/26/2014,47.75,,5/16/2018,0.42,Regular Cash
,,11/28/2014,47.81,,8/15/2018,0.42,Regular Cash
,,12/1/2014,48.62,,11/14/2018,0.46,Regular Cash
,,12/2/2014,48.46,,2/20/2019,0.46,Regular Cash
,,12/3/2014,48.08,,5/15/2019,0.46,Regular Cash
,,12/4/2014,48.84,,8/14/2019,0.46,Regular Cash
,,12/5/2014,48.42,,11/20/2019,0.51,Regular Cash
,,12/8/2014,47.695,,2/19/2020,0.51,Regular Cash
,,12/9/2014,47.59,,5/20/2020,0.51,Regular Cash
